"id;""timestamp"";""nsfrac"";""the_geom"";""longitude"";""latitude"";""height"";""amplitude"";""lsum"";""type"";""stationmax"";""station1"";""station2"";""station3"";""station4"";""station5"";""station6"";""station7"";""station8"";""qres"";""flash_id"";""cell_id"""
"1290903;""2018-08-20 12:03:52.799033+00"";""0"";""0101000020E6100000000000C029DE54400000000010993E40"";""83.4713"";""30.5979"";""0"";""15.7"";""0.783"";""1"";""5"";""8"";""4"";""9"";""1"";""3"";""0"";""0"";""0"";""0"";""773734"";"""""
"1149633;""2018-07-20 18:04:18.780327+00"";""1"";""0101000020E6100000000000C0BAB85440000000C0CA413640"";""82.8864"";""22.257"";""0"";""-81.6"";""2.973"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663522"";"""""
"1149634;""2018-07-20 18:04:19.559975+00"";""8"";""0101000020E6100000000000C072B8544000000080142E3640"";""82.882"";""22.18"";""0"";""-29"";""2.501"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663523"";"""""
"1149635;""2018-07-20 18:04:20.064909+00"";""8"";""0101000020E610000000000080ACBB5440000000402A393640"";""82.9324"";""22.2233"";""0"";""-54.4"";""2.844"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663524"";"""""
"1149638;""2018-07-20 18:04:21.848043+00"";""0"";""0101000020E610000000000020D9B654400000000010193640"";""82.857"";""22.0979"";""0"";""-58.9"";""2.901"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663525"";"""""
"1149636;""2018-07-20 18:04:21.763462+00"";""1"";""0101000020E610000000000040DFFF5440000000A04C153740"";""83.998"";""23.0832"";""0"";""-16.6"";""2.451"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663526"";"""""
"1149637;""2018-07-20 18:04:21.824018+00"";""6"";""0101000020E6100000000000A0CDFE5440000000009C133740"";""83.9813"";""23.0766"";""0"";""-22.6"";""2.191"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663526"";"""""
"1149639;""2018-07-20 18:04:21.860538+00"";""5"";""0101000020E6100000000000C0DAFE5440000000E0AE153740"";""83.9821"";""23.0847"";""0"";""-15.9"";""2.571"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663526"";"""""
"1149640;""2018-07-20 18:04:22.62309+00"";""9"";""0101000020E610000000000000E7B454400000006096313640"";""82.8266"";""22.1937"";""0"";""-21.3"";""3.258"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663527"";"""""
"1149641;""2018-07-20 18:04:22.967266+00"";""6"";""0101000020E6100000000000801FB75440000000007F5A3640"";""82.8613"";""22.3535"";""0"";""24.2"";""2.425"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663528"";"""""
"1149643;""2018-07-20 18:04:23.888358+00"";""1"";""0101000020E610000000000000A1B7544000000000F51A3640"";""82.8692"";""22.1053"";""0"";""-52.9"";""2.913"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663530"";"""""
"1149644;""2018-07-20 18:04:24.013421+00"";""2"";""0101000020E61000000000002006B5544000000040AD093640"";""82.8285"";""22.0378"";""0"";""21.9"";""1.196"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663530"";"""""
"1149645;""2018-07-20 18:04:24.540625+00"";""2"";""0101000020E61000000000006000E35440000000C04B873A40"";""83.5469"";""26.5285"";""0"";""15.7"";""1.128"";""1"";""5"";""4"";""6"";""8"";""3"";""9"";""0"";""0"";""0"";""0"";""663531"";"""""
"1149646;""2018-07-20 18:04:24.541253+00"";""4"";""0101000020E6100000000000801FE35440000000A0B4873A40"";""83.5488"";""26.5301"";""0"";""16.2"";""1.215"";""1"";""5"";""4"";""6"";""8"";""3"";""9"";""0"";""0"";""0"";""0"";""663531"";"""""
"1149647;""2018-07-20 18:04:24.734204+00"";""9"";""0101000020E6100000000000C03BBA54400000002095443640"";""82.9099"";""22.2679"";""0"";""-18"";""3.983"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663532"";"""""
"1149648;""2018-07-20 18:04:24.908321+00"";""3"";""0101000020E610000000000060F0D9544000000040D6C53A40"";""83.4053"";""26.7728"";""0"";""-11"";""0.498"";""1"";""5"";""4"";""6"";""8"";""9"";""3"";""0"";""0"";""0"";""0"";""663533"";"""""
"1149649;""2018-07-20 18:04:25.15102+00"";""8"";""0101000020E6100000000000407BB75440000000A0CB2F3640"";""82.8669"";""22.1867"";""0"";""-57.3"";""2.907"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663534"";"""""
"1149650;""2018-07-20 18:04:25.48548+00"";""4"";""0101000020E61000000000002031BC5440000000403E383640"";""82.9405"";""22.2197"";""0"";""-68.7"";""2.801"";""1"";""5"";""4"";""3"";""6"";""8"";""9"";""0"";""0"";""0"";""0"";""663534"";"""""
